time, rotA, rotB, rotG
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 5.765822435516269, -0.19274644427387888, -4.383086069653507
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), -4.07975864927371, -7.640423775400099, -2.010146017075909
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), -11.011642932725605, -12.86588817444868, 1.3844615222367191
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), 2.030471165941986, 8.929109717052254, -0.7635487149455766
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), -3.8871315198668954, -1.0477879443901563, 0.7014628823595425
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -4.001816799333756, -1.6640599049445397, -0.8820637028244049
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -1.992386458016818, -1.1551640676714574, 0.27201954077175095
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), 1.5279992283050066, 2.342348702502169, -1.216399061458149
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), 3.795851591138376, 2.1052425274465847, -4.57543828394623
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), 1.3065636416395467, 0.7341640138365653, -7.067076352128072
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -4.602768859023213, -0.1842624955510768, -11.082029739669878
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -4.001663973851078, -5.928144015575739, -16.729003041646518
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), 3.4841149272298235, -21.253888961111368, -41.98914799816533
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), 5.280801311043556, -33.83693473316159, -102.77859659246586
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -24.972279803759452, -5.676198827661478, -129.00646836380145
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -32.68044027270586, 9.311045357702906, -144.5774145392196
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -39.50685576320218, 50.57527976604539, -174.38747464341677
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -62.50551996288789, 50.57164952050153, -155.79900553420035
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -66.644710222564, 13.669184161412941, -124.16490243101626
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -36.57973379816361, -19.288838414256823, -109.32524411946386
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -28.296162335042187, -17.975683319903094, -102.93541090562017
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -34.74080440188064, -43.02611414814584, -90.22058346372373
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -36.01659153128523, -32.176809444065796, -70.3170638826589
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -17.17397108305263, 2.3452244255861565, -55.32837425851142
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -6.608908116377263, 8.140513150955508, -45.05916435082973
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -10.322073864310287, 3.3967380247251433, -34.286398746588866
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -13.571676380821838, 2.6121921876930365, -24.938999707028565
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -8.248740059675297, -10.704854740870728, -13.523839443422363
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -8.786154711497534, -24.55638617010279, -1.364903595713505
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -9.509451254034374, -18.392538302685438, 2.8151653461451285
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -11.737051711263272, -14.20761651142151, 2.6742811685693915
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -5.94103087499226, -4.5334223752668965, 2.0045115378974714
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), -0.7740388182936584, 7.875757943252888, 0.8939922546838619
Tue Jul 23 2019 13:31:04 GMT+1000 (AEST), 1.4669278388932778, 2.4031008872919055, -1.1556597899948122
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -0.44090898804842155, -4.193990574934412, -1.1791583087823008
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -2.074545522882432, -5.919942665929845, -2.7546280988708363
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), 2.1297697367561006, -4.363683636655617, -3.501378230357031
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), 2.388009370877351, -7.213796499462762, -0.43492616922231353
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -1.2689119036747343, -9.603047897551997, 4.404841502820467
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -3.348562779518339, -10.095296215940232, 7.82848620400723
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -0.01698930848782658, -6.468557120443609, 8.72007263127766
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), 4.060586308273485, 4.590173563306886, 7.435145001216304
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), 5.064309500676716, 1.4819736784177582, 5.008616565071255
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), 1.8132547151928902, -6.2120818095623385, 8.044825615778214
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -2.637093136416199, -8.548751850099876, 12.458216381005421
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -7.807595216657099, -12.298262742153831, 15.476266093143431
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -6.7318199318125815, -17.71138061223299, 15.686333683709051
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -3.8210225457771654, -6.22937029901211, 16.17092365249041
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -5.382759813652567, -1.5467377455712306, 17.24717192793495
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -4.248482251019597, -6.593765160100522, 17.455224612695417
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -3.156807353004347, -4.225387673888491, 12.863443820499462
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -3.888405350147103, -13.12744087720421, 12.972452785879218
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -8.816902515593638, -15.487716905286959, 12.198588084048543
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), -5.972603424430644, -2.4928589644959818, 10.050745453305177
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), 3.4154886015441206, 8.374617884757694, 10.712260373478314
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), 5.35164574066222, 11.070464521857755, 10.26798474249931
Tue Jul 23 2019 13:31:05 GMT+1000 (AEST), 2.0907817363131986, 6.343871590258204, 8.405512537920954
